Race #,WPM,Accuracy,Rank,# Racers,Text ID,Date/Time (UTC)
1,50,0.92,1,3,62,2011-05-04 04:58:12
2,45,0.87,4,5,598,2011-05-04 04:59:18
3,54,0.93,2,4,449,2011-05-04 05:00:52
4,48,0.89,3,5,355,2011-05-04 05:02:20
5,49,0.88,3,4,402,2011-05-04 05:03:47
6,53,0.92,1,5,573,2011-05-04 05:04:36
7,54,0.93,1,4,566,2011-05-04 05:06:15
8,57,0.96,1,5,156,2011-05-04 18:52:36
9,39,0.89,3,4,168,2011-05-04 18:53:58
10,56,0.96,3,4,138,2011-05-04 18:55:29
11,52,0.91,3,5,524,2011-05-04 18:56:22
12,58,0.94,3,5,298,2011-05-04 18:57:26
13,54,0.92,2,3,584,2011-05-04 18:59:08
14,49,0.90,2,4,283,2011-05-04 19:00:42
15,59,0.94,5,5,571,2011-05-04 19:01:55
16,53,0.91,2,5,390,2011-05-04 19:03:04
17,51,0.92,4,5,3,2011-05-04 19:04:50
18,48,0.93,3,4,87,2011-05-04 19:06:24
19,54,0.93,3,4,627,2011-05-04 19:07:38
20,57,0.93,3,3,467,2011-05-04 19:09:02
21,44,0.86,4,4,149,2011-05-04 19:11:02
22,53,0.95,1,3,163,2011-05-04 19:12:29
23,55,0.94,1,4,56,2011-05-04 19:13:55
24,59,0.95,1,4,537,2011-05-04 19:15:03
25,65,0.95,2,3,81,2011-05-04 19:16:49
26,48,0.91,2,4,43,2011-05-04 19:18:18
27,45,0.88,3,3,98,2011-05-04 19:19:48
28,52,0.89,4,5,121,2011-05-04 19:21:27
29,52,0.94,2,2,308,2011-05-04 23:13:38
30,59,0.96,2,5,127,2011-05-04 23:15:09
31,57,0.96,1,2,455,2011-05-04 23:17:22
32,64,0.93,1,5,285,2011-05-04 23:21:32
33,56,0.92,2,4,197,2011-05-04 23:22:48
34,49,0.92,2,3,629,2011-05-04 23:24:50
35,50,0.94,1,4,142,2011-05-04 23:26:08
36,65,0.98,3,4,188,2011-05-04 23:47:40
37,55,0.94,1,2,111,2011-05-05 04:17:51
38,47,0.92,2,3,113,2011-05-05 04:32:16
39,44,0.93,4,4,10,2011-05-05 04:33:40
40,52,0.94,1,5,530,2011-05-05 04:34:49
41,52,0.92,3,5,140,2011-05-05 04:36:13
42,56,0.94,1,4,56,2011-05-05 04:37:21
43,47,0.86,5,5,126,2011-05-05 04:39:14
44,60,0.94,2,4,545,2011-05-05 04:40:15
45,56,0.95,1,5,103,2011-05-05 04:41:28
46,54,0.91,3,4,100,2011-05-05 04:42:45
47,59,0.93,2,5,160,2011-05-05 04:44:13
48,55,0.93,5,5,145,2011-05-05 04:45:51
49,50,0.95,1,4,82,2011-05-05 04:47:19
50,48,0.92,4,5,207,2011-05-05 04:48:51
51,54,0.96,3,4,18,2011-05-05 04:49:49
52,57,0.91,1,3,471,2011-05-05 04:51:03
53,49,0.91,1,2,485,2011-05-05 04:52:41
54,49,0.89,4,4,537,2011-05-05 04:54:03
55,62,0.96,1,1,449,2011-05-05 04:55:56
56,45,0.84,1,4,336,2011-05-05 05:02:20
57,61,0.94,1,5,428,2011-05-05 05:03:08
58,48,0.88,4,5,48,2011-05-05 16:55:10
59,51,0.91,2,5,592,2011-05-05 16:56:48
60,60,0.94,3,5,442,2011-05-05 16:58:03
61,53,0.93,1,3,222,2011-05-05 16:59:42
62,53,0.92,1,4,44,2011-05-05 17:00:52
63,50,0.88,1,4,135,2011-05-05 17:02:29
64,61,0.93,1,3,130,2011-05-05 17:03:56
65,55,0.91,2,4,555,2011-05-05 18:17:54
66,57,0.92,2,3,392,2011-05-05 18:19:20
67,59,0.91,1,4,224,2011-05-05 18:20:25
68,53,0.92,2,3,155,2011-05-05 21:48:05
69,45,0.85,4,4,485,2011-05-05 21:49:36
70,60,0.93,1,3,471,2011-05-05 21:50:44
71,44,0.89,4,5,302,2011-05-05 21:51:57
72,56,0.91,2,4,377,2011-05-05 21:53:38
73,62,0.96,2,3,537,2011-05-05 21:54:43
74,58,0.94,5,5,544,2011-05-05 21:55:40
75,60,0.93,2,2,106,2011-05-05 21:56:45
76,52,0.91,2,3,229,2011-05-05 21:57:55
77,58,0.93,2,5,350,2011-05-05 21:59:02
78,51,0.91,3,3,218,2011-05-05 22:08:40
79,51,0.90,4,4,396,2011-05-05 22:10:14
80,58,0.97,3,5,158,2011-05-05 22:11:52
81,57,0.94,1,2,213,2011-05-05 22:13:22
82,53,0.93,1,2,287,2011-05-05 22:15:00
83,49,0.92,2,4,95,2011-05-05 22:16:33
84,52,0.93,2,3,586,2011-05-05 22:18:11
85,53,0.93,1,2,74,2011-05-05 22:19:04
86,54,0.94,1,5,84,2011-05-05 22:20:27
87,47,0.89,3,3,419,2011-05-05 22:22:08
88,56,0.94,2,5,552,2011-05-05 22:23:14
89,68,0.97,1,3,361,2011-05-05 22:25:10
90,52,0.91,1,4,148,2011-05-05 22:26:45
91,65,0.98,1,3,167,2011-05-05 22:29:13
92,58,0.94,3,3,294,2011-05-05 22:30:16
93,60,0.94,3,3,408,2011-05-05 22:31:35
94,59,0.94,2,4,103,2011-05-05 22:32:49
95,57,0.94,1,2,515,2011-05-05 22:34:28
96,48,0.92,4,4,168,2011-05-05 22:35:47
97,48,0.90,1,2,622,2011-05-05 22:40:44
98,55,0.95,2,3,565,2011-05-05 22:42:00
99,55,0.92,1,3,73,2011-05-05 22:43:55
100,48,0.92,1,1,21,2011-05-05 22:44:54
101,46,0.88,1,1,348,2011-05-05 22:45:58
102,54,0.94,1,1,245,2011-05-05 22:46:52
103,55,0.93,1,1,573,2011-05-05 22:47:31
104,38,0.83,1,1,226,2011-05-05 22:49:17
105,41,0.85,1,1,283,2011-05-05 22:50:56
106,51,0.91,1,1,224,2011-05-05 22:52:35
107,50,0.95,1,1,189,2011-05-05 22:53:45
108,56,0.96,1,1,20,2011-05-05 22:54:59
109,50,0.93,1,3,166,2011-05-05 23:24:29
110,53,0.91,1,3,49,2011-05-05 23:25:47
111,52,0.94,1,2,495,2011-05-05 23:26:49
